state,facility,district,block,,,
Punjab,HWC Gajju Jagir,Pathankot,Narot Jaimal Singh,,,
Punjab,HWC Darshopur,Pathankot,Narot Jaimal Singh,,,
Punjab,HWC Janial,Pathankot,Narot Jaimal Singh,,,
Punjab,HWC Killpur,Pathankot,Narot Jaimal Singh,,,
Punjab,HWC Taloor,Pathankot,Narot Jaimal Singh,,,
Punjab,HWC Bahadurpur,Pathankot,Narot Jaimal Singh,,,
Punjab,CHC Kanwan,Pathankot,Gharota,,,
Punjab,HWC Kauntarpur,Pathankot,Gharota,,,
Punjab,HWC Basroop,Pathankot,Gharota,,,
Punjab,HWC Bharoli Kalan,Pathankot,Gharota,,,
Punjab,HWC Malikpur,Pathankot,Gharota,,,
Punjab,HWC Kanwan,Pathankot,Gharota,,,
Punjab,HWC Ladochak,Pathankot,Gharota,,,
Punjab,HWC Manwal,Pathankot,Gharota,,,
Punjab,HWC Azizpur,Pathankot,Gharota,,,
Punjab,HWC Jhakholahri,Pathankot,Gharota,,,
Punjab,HWC Bhanwal,Pathankot,Gharota,,,
Punjab,HWC Meelma,Pathankot,Gharota,,,
Punjab,HWC Mamoon,Pathankot,Gharota,,,
Punjab,HWC Balsua,Pathankot,Gharota,,,
Punjab,HWC Sherpur,Pathankot,Gharota,,,
Punjab,HWC Kailashpur,Pathankot,Gharota,,,
Punjab,HWC Jaini,Pathankot,Bungal Badhani,,,
Punjab,HWC Fangtoli,Pathankot,Bungal Badhani,,,
Punjab,HWC Bhatwan,Pathankot,Bungal Badhani,,,
Punjab,HWC Gho,Pathankot,Bungal Badhani,,,
Punjab,HWC Shahpur Kandi,Pathankot,Bungal Badhani,,,
Punjab,HWC Jandwal,Pathankot,Bungal Badhani,,,
Punjab,HWC Dharkalan,Pathankot,Bungal Badhani,,,
Punjab,HWC Haryal,Pathankot,Bungal Badhani,,,
Punjab,HWC Ferozepur Kalan,Pathankot,Bungal Badhani,,,
Punjab,HWC Mirzapur,Pathankot,Bungal Badhani,,,
Punjab,HWC Channi Muwalan,Pathankot,Bungal Badhani,,,
Punjab,HWC Dukhniali,Pathankot,Bungal Badhani,,,
Punjab,HWC Ranipur,Pathankot,Bungal Badhani,,,
Punjab,HWC Patralwan,Pathankot,Bungal Badhani,,,
