facility_id,district,block
36dbb13a-a58c-4a57-b566-50e569890ac5,Eluru,Nuzividu
42b4f67c-97c5-4cc2-9c43-1281b7de4d23,Eluru,Nuzividu
25801b7e-d5a1-4fee-a826-e5ee306d935a,Eluru,Nuzividu
6c28d4b0-72c1-4893-81bc-9030d1caad5c,Krishna,Gudivada
b71163d0-6d15-4f98-9f0f-9a90adb28120,Krishna,Gudivada
bcded3f1-f1e8-4934-bec0-83a18cac9200,Eluru,Nuzividu
764839ee-ba33-4c8a-b047-a759e7d96417,Eluru,Nuzividu
b06ab127-c1b8-4890-bcf7-340eed6cb059,NTR,Tiruvuru
4bd5cf7a-0917-4b71-9988-69a6b509e793,Eluru,Nuzividu
b190fca1-5ae1-4542-b9d3-a7199b859a87,Krishna,Gudivada
266209e8-fea0-412d-8e47-d82ec8ac0d3e,Eluru,Nuzividu
f394eca8-7946-40a8-b133-4d2b392da3d4,Eluru,Nuzividu
52789518-22b5-4642-85fb-37eeade0185e,Krishna,Vuyyuru
145a7f15-c34e-4832-b17c-4068bb248c97,Krishna,Gudivada
a8ba5111-9997-45fe-9305-4909d481b01c,Eluru,Nuzividu
554bc246-942d-44b0-b314-4a8ed61d26e0,NTR,Tiruvuru
d1e9cb1c-a354-4df4-a13a-69a0a0c33822,Eluru,Nuzividu
2c637d33-f6cf-4959-9d66-8ca2c0214177,NTR,Tiruvuru
e7d4df66-a9e1-4159-911a-5176f4f2eb54,NTR,Vijayawada
7a46d1e4-bbf0-411e-bced-61f6d2c4f7e3,NTR,Nandigama
e3422750-ff7f-4a96-af2b-4709f454f3b0,NTR,Nandigama
b491d21c-9edf-43e0-b05b-3ed7f85a3d96,NTR,Nandigama
f3aa7763-b518-441f-aa0d-94230c8ff85e,NTR,Nandigama
841ba578-b3db-4e0f-bf17-6e319779c723,Krishna,Vuyyuru
7d76c4ed-b38d-4170-b04f-ae4a2bbc7b8e,NTR,Nandigama
6dc15f60-b55d-4abe-a5cf-2907b847a5d0,NTR,Vijayawada
83973a19-7389-4d48-835e-8251fedb592d,Krishna,Vuyyuru
aad31736-3c69-44d8-bdc0-97d13757c54f,NTR,Nandigama
b3be2ac8-70b4-4fb7-8065-37c7fcd0435b,NTR,Vijayawada
a166af1f-0008-42d9-9c4f-a5431ebe359e,NTR,Nandigama
91a07c61-fb13-4f47-a24d-f1af1383b8d9,NTR,Nandigama
e5b1bcf8-b359-44ba-a570-ff2725d1a9be,NTR,Vijayawada
08bdab31-b04d-40ca-bd1d-32f205ce123f,NTR,Nandigama
04949243-b1b8-4aed-8270-78e9a3a5d6ee,NTR,Nandigama
c5a69c12-c962-44da-8f7d-3272c8cedb4c,Krishna,Vuyyuru
c4259fb0-917c-4c98-99f5-e387a673d86a,NTR,Nandigama
77fbb946-889b-4ee4-ac5b-e97a73f2e580,NTR,Vijayawada
37b0cb0c-3f6d-42f6-b5c1-badd226d9575,NTR,Vijayawada
630aa6b0-b597-4e78-8705-7a0491c74f89,NTR,Vijayawada
05bf74d9-5271-4bb9-8652-71c10d400c4a,NTR,Vijayawada
f75d958d-3f5f-4ceb-816b-16100164d7c1,NTR,Vijayawada
0928b0bd-8739-4f47-9a38-71b0c0f5ec66,NTR,Vijayawada
f392c10b-5177-4618-9fa1-20797ebf2f9e,NTR,Vijayawada
f22f8bbb-8dca-44c8-b959-951d3643d520,NTR,Vijayawada
bdf2304e-9f0b-4893-8a01-3349e2dd3444,NTR,Vijayawada
8aede992-a804-4949-b09f-3cbc63215e86,NTR,Vijayawada
884e45fa-e6a5-43ec-9cba-8890812bfb36,NTR,Vijayawada
6477e6c7-81c2-4947-bd0f-923f14e054ac,NTR,Vijayawada
67b6e921-5404-4110-b384-4c4c90bb62f1,NTR,Vijayawada
05b9eea2-24db-4f2f-a4de-187ed11fdf94,NTR,Vijayawada
9ecf639b-2cae-4965-bceb-29f9cd1692fc,NTR,Nandigama
5e571941-c005-49df-a9d5-7755f4c8a00c,NTR,Nandigama
af2c1c9d-2522-4573-b924-44b959fe2e92,NTR,Vijayawada
775249a5-cb96-49cb-bec5-046eec4af067,NTR,Nandigama
fdf5ec0d-7791-4b08-9ee3-bb7937f25e46,NTR,Vijayawada
bfdfa4f3-b5cc-48be-98bd-526589590c87,NTR,Nandigama
a90b9f32-e36a-476d-aa2b-3c68f054b58d,Krishna,Vuyyuru
5ef815c0-b763-4699-b663-a4b56ac44a8e,NTR,Vijayawada
7f6d5088-6fa3-4ddd-84e5-4f13a60f038d,NTR,Vijayawada
6bf9a7a2-cd5d-4507-ada3-13fbfc8bfe4d,NTR,Vijayawada
7494a0b3-7a71-4990-bbe2-5fa62c5c34e1,NTR,Vijayawada
1171b86d-bdf1-4f10-9f46-633c8378bf78,NTR,Vijayawada
acee57ca-01a3-4f94-af5c-4b8541e979b5,NTR,Vijayawada
e9a0390e-c412-416f-ab24-ee0adbd0d354,NTR,Vijayawada
3437ef9d-a9e5-40b2-a18f-542ccc4cf283,NTR,Vijayawada
0725ffb9-6f9a-4ec7-9149-c94975371832,NTR,Vijayawada
5790b598-003f-4d1e-9508-f873dd9ec061,NTR,Vijayawada
3c51dda3-6b9d-4d0a-8555-7c113e756662,NTR,Vijayawada
344ef405-994b-402d-a9d7-28efb4a35b76,Krishna,Vuyyuru
2b21cecd-5b9e-44b4-b096-a71f40bb3d0f,NTR,Nandigama
75069883-d9bb-43d3-bb9f-fd66b444affd,NTR,Nandigama
0c3329a4-1b60-4210-b1c6-da9f294b6f46,NTR,Nandigama
3c4ec078-a076-4a50-b920-f4fc762e057c,NTR,Nandigama
6563e127-4629-4223-ab62-8db9c282c6d3,Krishna,Vuyyuru
1dc3439f-cfb5-482f-8213-4dc557098f55,NTR,Vijayawada
